index,Time,Region,Civilian Population,Total Labor Force,Percent of Population,Employed - Total,Employed - Percent of Population,Unemployed - Total,Unemployed - Percent of Labor Force,year,state
6190,Feb-86,Maine,880000,557685,63.4,527617,60,30068,5.4,1986,maine
6191,Feb-86,Maryland,3372000,2314154,68.6,2212545,65.6,101609,4.4,1986,maryland
6192,Feb-86,Massachusetts,4552000,3057365,67.2,2938739,64.6,118626,3.9,1986,massachusetts
6193,Feb-86,Michigan,6832000,4364701,63.9,3974203,58.2,390498,8.9,1986,michigan
6194,Feb-86,Minnesota,3146000,2238201,71.1,2104493,66.9,133708,6,1986,minnesota
6195,Feb-86,Mississippi,1868000,1146273,61.4,1020606,54.6,125667,11,1986,mississippi
6196,Feb-86,Missouri,3804000,2508546,65.9,2355882,61.9,152664,6.1,1986,missouri
6197,Feb-86,Montana,602000,403697,67.1,371582,61.7,32115,8,1986,montana
6198,Feb-86,Nebraska,1176000,809692,68.9,766689,65.2,43003,5.3,1986,nebraska
6199,Feb-86,Nevada,731000,521965,71.4,486954,66.6,35011,6.7,1986,nevada
6200,Feb-86,New Hampshire,771000,554862,72,537513,69.7,17349,3.1,1986,new hampshire
6201,Feb-86,New Jersey,5917000,3882076,65.6,3670682,62,211394,5.4,1986,new jersey
6202,Feb-86,New Mexico,1045000,665364,63.7,606844,58.1,58520,8.8,1986,new mexico
6203,Feb-86,New York,13704000,8425409,61.5,7870640,57.4,554769,6.6,1986,new york
6204,Feb-86,North Carolina,4708000,3164766,67.2,3000899,63.7,163867,5.2,1986,north carolina
6205,Feb-86,North Dakota,487000,334299,68.6,314278,64.5,20021,6,1986,north dakota
6206,Feb-86,Ohio,8090000,5198954,64.3,4762363,58.9,436591,8.4,1986,ohio
6207,Feb-86,Oklahoma,2415000,1585586,65.7,1462942,60.6,122644,7.7,1986,oklahoma
6208,Feb-86,Oregon,2043000,1339833,65.6,1223619,59.9,116214,8.7,1986,oregon
6209,Feb-86,Pennsylvania,9225000,5604615,60.8,5185709,56.2,418906,7.5,1986,pennsylvania
6210,Feb-86,Rhode Island,752000,506117,67.3,485456,64.6,20661,4.1,1986,rhode island
6211,Feb-86,South Carolina,2445000,1574605,64.4,1467795,60,106810,6.8,1986,south carolina
6212,Feb-86,South Dakota,509000,346915,68.2,330437,64.9,16478,4.7,1986,south dakota
6213,Feb-86,Tennessee,3616000,2281145,63.1,2096470,58,184675,8.1,1986,tennessee
6214,Feb-86,Texas,11880000,8089551,68.1,7442856,62.7,646695,8,1986,texas
6215,Feb-86,Utah,1072000,743937,69.4,701486,65.4,42451,5.7,1986,utah
6216,Feb-86,Vermont,405000,285847,70.6,273186,67.5,12661,4.4,1986,vermont
6217,Feb-86,Virginia,4265000,2873454,67.4,2726934,63.9,146520,5.1,1986,virginia
6218,Feb-86,Washington,3300000,2151279,65.2,1979949,60,171330,8,1986,washington
6219,Feb-86,West Virginia,1458000,745799,51.2,657153,45.1,88646,11.9,1986,west virginia
6220,Feb-86,Wisconsin,3584000,2393610,66.8,2222514,62,171096,7.1,1986,wisconsin
6221,Feb-86,Wyoming,359000,252845,70.4,232288,64.7,20557,8.1,1986,wyoming
6222,Mar-86,Alabama,2991000,1853642,62,1672315,55.9,181327,9.8,1986,alabama
6223,Mar-86,Alaska,349000,256756,73.6,229143,65.7,27613,10.8,1986,alaska
6224,Mar-86,Arizona,2405000,1540035,64,1438266,59.8,101769,6.6,1986,arizona
6225,Mar-86,Arkansas,1757000,1059144,60.3,967562,55.1,91582,8.6,1986,arkansas
6226,Mar-86,California,19941000,13202326,66.2,12297776,61.7,904550,6.9,1986,california
6227,Mar-86,Colorado,2408000,1704190,70.8,1585654,65.8,118536,7,1986,colorado
6228,Mar-86,Connecticut,2482000,1726294,69.6,1658559,66.8,67735,3.9,1986,connecticut
6229,Mar-86,Delaware,477000,323029,67.7,307203,64.4,15826,4.9,1986,delaware
6230,Mar-86,District of Columbia,481000,322154,67,298533,62.1,23621,7.3,1986,district of columbia
6231,Mar-86,Florida,9091000,5495022,60.4,5175740,56.9,319282,5.8,1986,florida
6232,Mar-86,Georgia,4423000,2944969,66.6,2770127,62.6,174842,5.9,1986,georgia
6233,Mar-86,Hawaii,740000,488997,66.1,463409,62.6,25588,5.2,1986,hawaii
6234,Mar-86,Idaho,705000,470342,66.7,431229,61.2,39113,8.3,1986,idaho
6235,Mar-86,Illinois,8666000,5682147,65.6,5192710,59.9,489437,8.6,1986,illinois
6236,Mar-86,Indiana,4110000,2740634,66.7,2546898,62,193736,7.1,1986,indiana
6237,Mar-86,Iowa,2141000,1426203,66.6,1324348,61.9,101855,7.1,1986,iowa
6238,Mar-86,Kansas,1809000,1234509,68.2,1167893,64.6,66616,5.4,1986,kansas
6239,Mar-86,Kentucky,2756000,1691680,61.4,1530443,55.5,161237,9.5,1986,kentucky
6240,Mar-86,Louisiana,3217000,1989343,61.8,1741918,54.1,247425,12.4,1986,louisiana
6241,Mar-86,Maine,880000,558502,63.5,528564,60.1,29938,5.4,1986,maine
6242,Mar-86,Maryland,3376000,2322024,68.8,2218984,65.7,103040,4.4,1986,maryland
6243,Mar-86,Massachusetts,4554000,3057678,67.1,2938338,64.5,119340,3.9,1986,massachusetts
6244,Mar-86,Michigan,6837000,4368816,63.9,3975145,58.1,393671,9,1986,michigan
6245,Mar-86,Minnesota,3150000,2238312,71.1,2106346,66.9,131966,5.9,1986,minnesota
6246,Mar-86,Mississippi,1868000,1147887,61.5,1019061,54.6,128826,11.2,1986,mississippi
6247,Mar-86,Missouri,3808000,2514032,66,2359477,62,154555,6.1,1986,missouri
6248,Mar-86,Montana,601000,403483,67.1,371321,61.8,32162,8,1986,montana
6249,Mar-86,Nebraska,1177000,809504,68.8,767171,65.2,42333,5.2,1986,nebraska
6250,Mar-86,Nevada,732000,523454,71.5,489330,66.8,34124,6.5,1986,nevada
6251,Mar-86,New Hampshire,773000,556481,72,539371,69.8,17110,3.1,1986,new hampshire
6252,Mar-86,New Jersey,5925000,3884745,65.6,3676134,62,208611,5.4,1986,new jersey
6253,Mar-86,New Mexico,1048000,666911,63.6,606731,57.9,60180,9,1986,new mexico
6254,Mar-86,New York,13706000,8432690,61.5,7873009,57.4,559681,6.6,1986,new york
6255,Mar-86,North Carolina,4713000,3166969,67.2,2998760,63.6,168209,5.3,1986,north carolina
6256,Mar-86,North Dakota,487000,334081,68.6,313856,64.4,20225,6.1,1986,north dakota
6257,Mar-86,Ohio,8091000,5203986,64.3,4768519,58.9,435467,8.4,1986,ohio
6258,Mar-86,Oklahoma,2417000,1589317,65.8,1462444,60.5,126873,8,1986,oklahoma
6259,Mar-86,Oregon,2046000,1343714,65.7,1226421,59.9,117293,8.7,1986,oregon
6260,Mar-86,Pennsylvania,9229000,5607284,60.8,5191744,56.3,415540,7.4,1986,pennsylvania
6261,Mar-86,Rhode Island,752000,506761,67.4,486187,64.7,20574,4.1,1986,rhode island
6262,Mar-86,South Carolina,2447000,1578305,64.5,1471764,60.1,106541,6.8,1986,south carolina
6263,Mar-86,South Dakota,510000,347378,68.1,331035,64.9,16343,4.7,1986,south dakota
6264,Mar-86,Tennessee,3618000,2285419,63.2,2099360,58,186059,8.1,1986,tennessee
6265,Mar-86,Texas,11896000,8113485,68.2,7440192,62.5,673293,8.3,1986,texas
6266,Mar-86,Utah,1073000,745252,69.5,702619,65.5,42633,5.7,1986,utah
6267,Mar-86,Vermont,405000,286424,70.7,273876,67.6,12548,4.4,1986,vermont
6268,Mar-86,Virginia,4272000,2879582,67.4,2732916,64,146666,5.1,1986,virginia
6269,Mar-86,Washington,3307000,2163281,65.4,1988933,60.1,174348,8.1,1986,washington
6270,Mar-86,West Virginia,1458000,746142,51.2,656898,45.1,89244,12,1986,west virginia
6271,Mar-86,Wisconsin,3585000,2397257,66.9,2225732,62.1,171525,7.2,1986,wisconsin
6272,Mar-86,Wyoming,359000,253139,70.5,231809,64.6,21330,8.4,1986,wyoming
6273,Apr-86,Alabama,2994000,1859859,62.1,1674799,55.9,185060,10,1986,alabama
6274,Apr-86,Alaska,350000,256853,73.4,228708,65.3,28145,11,1986,alaska
6275,Apr-86,Arizona,2410000,1548830,64.3,1444229,59.9,104601,6.8,1986,arizona
6276,Apr-86,Arkansas,1758000,1061433,60.4,969969,55.2,91464,8.6,1986,arkansas
6277,Apr-86,California,19974000,13242420,66.3,12331995,61.7,910425,6.9,1986,california
6278,Apr-86,Colorado,2410000,1703943,70.7,1582888,65.7,121055,7.1,1986,colorado
6279,Apr-86,Connecticut,2484000,1730424,69.7,1662309,66.9,68115,3.9,1986,connecticut
6280,Apr-86,Delaware,478000,323971,67.8,307998,64.4,15973,4.9,1986,delaware
6281,Apr-86,District of Columbia,480000,321953,67.1,297865,62.1,24088,7.5,1986,district of columbia
6282,Apr-86,Florida,9112000,5523419,60.6,5200285,57.1,323134,5.9,1986,florida
6283,Apr-86,Georgia,4430000,2958672,66.8,2780482,62.8,178190,6,1986,georgia
6284,Apr-86,Hawaii,741000,489659,66.1,464417,62.7,25242,5.2,1986,hawaii
6285,Apr-86,Idaho,706000,471258,66.8,431831,61.2,39427,8.4,1986,idaho
6286,Apr-86,Illinois,8670000,5689055,65.6,5201679,60,487376,8.6,1986,illinois
6287,Apr-86,Indiana,4113000,2744818,66.7,2549939,62,194879,7.1,1986,indiana
6288,Apr-86,Iowa,2141000,1428188,66.7,1327153,62,101035,7.1,1986,iowa
6289,Apr-86,Kansas,1811000,1236410,68.3,1169125,64.6,67285,5.4,1986,kansas
6290,Apr-86,Kentucky,2757000,1691021,61.3,1531815,55.6,159206,9.4,1986,kentucky
6291,Apr-86,Louisiana,3220000,1984730,61.6,1735753,53.9,248977,12.5,1986,louisiana
6292,Apr-86,Maine,881000,559548,63.5,529685,60.1,29863,5.3,1986,maine
6293,Apr-86,Maryland,3380000,2329883,68.9,2225635,65.8,104248,4.5,1986,maryland
6294,Apr-86,Massachusetts,4557000,3058795,67.1,2938532,64.5,120263,3.9,1986,massachusetts
6295,Apr-86,Michigan,6842000,4375290,63.9,3978398,58.1,396892,9.1,1986,michigan
6296,Apr-86,Minnesota,3154000,2238762,71,2108933,66.9,129829,5.8,1986,minnesota
6297,Apr-86,Mississippi,1868000,1149681,61.5,1017962,54.5,131719,11.5,1986,mississippi
6298,Apr-86,Missouri,3812000,2521488,66.1,2364414,62,157074,6.2,1986,missouri
6299,Apr-86,Montana,601000,402947,67,370816,61.7,32131,8,1986,montana
6300,Apr-86,Nebraska,1177000,808949,68.7,767443,65.2,41506,5.1,1986,nebraska
6301,Apr-86,Nevada,732000,525289,71.8,491905,67.2,33384,6.4,1986,nevada
6302,Apr-86,New Hampshire,774000,558036,72.1,541281,69.9,16755,3,1986,new hampshire
6303,Apr-86,New Jersey,5933000,3889198,65.6,3683160,62.1,206038,5.3,1986,new jersey
6304,Apr-86,New Mexico,1051000,668639,63.6,606811,57.7,61828,9.2,1986,new mexico
6305,Apr-86,New York,13709000,8439440,61.6,7878431,57.5,561009,6.6,1986,new york
6306,Apr-86,North Carolina,4717000,3170017,67.2,2998782,63.6,171235,5.4,1986,north carolina
6307,Apr-86,North Dakota,487000,333759,68.5,313427,64.4,20332,6.1,1986,north dakota
6308,Apr-86,Ohio,8093000,5211057,64.4,4774741,59,436316,8.4,1986,ohio
6309,Apr-86,Oklahoma,2419000,1593111,65.9,1461900,60.4,131211,8.2,1986,oklahoma
6310,Apr-86,Oregon,2049000,1348299,65.8,1230788,60.1,117511,8.7,1986,oregon
6311,Apr-86,Pennsylvania,9233000,5609660,60.8,5199076,56.3,410584,7.3,1986,pennsylvania
6312,Apr-86,Rhode Island,753000,507451,67.4,486878,64.7,20573,4.1,1986,rhode island
6313,Apr-86,South Carolina,2448000,1581199,64.6,1475607,60.3,105592,6.7,1986,south carolina
6314,Apr-86,South Dakota,510000,347747,68.2,331552,65,16195,4.7,1986,south dakota
6315,Apr-86,Tennessee,3620000,2289988,63.3,2104302,58.1,185686,8.1,1986,tennessee
6316,Apr-86,Texas,11913000,8141016,68.3,7442665,62.5,698351,8.6,1986,texas
6317,Apr-86,Utah,1074000,746690,69.5,703592,65.5,43098,5.8,1986,utah
6318,Apr-86,Vermont,406000,287045,70.7,274585,67.6,12460,4.3,1986,vermont
6319,Apr-86,Virginia,4280000,2888250,67.5,2741398,64.1,146852,5.1,1986,virginia
6320,Apr-86,Washington,3313000,2175146,65.7,1997783,60.3,177363,8.2,1986,washington
6321,Apr-86,West Virginia,1457000,747055,51.3,657109,45.1,89946,12,1986,west virginia
6322,Apr-86,Wisconsin,3587000,2402224,67,2230251,62.2,171973,7.2,1986,wisconsin
6323,Apr-86,Wyoming,359000,253220,70.5,231233,64.4,21987,8.7,1986,wyoming
6324,May-86,Alabama,2997000,1863428,62.2,1677189,56,186239,10,1986,alabama
6325,May-86,Alaska,351000,256643,73.1,228115,65,28528,11.1,1986,alaska
6326,May-86,Arizona,2416000,1557429,64.5,1450171,60,107258,6.9,1986,arizona
6327,May-86,Arkansas,1760000,1064009,60.5,972781,55.3,91228,8.6,1986,arkansas
6328,May-86,California,20008000,13283132,66.4,12370849,61.8,912283,6.9,1986,california
6329,May-86,Colorado,2413000,1703874,70.6,1580475,65.5,123399,7.2,1986,colorado
6330,May-86,Connecticut,2485000,1734409,69.8,1666225,67.1,68184,3.9,1986,connecticut
6331,May-86,Delaware,479000,324704,67.8,308917,64.5,15787,4.9,1986,delaware
6332,May-86,District of Columbia,480000,321870,67.1,297373,62,24497,7.6,1986,district of columbia
6333,May-86,Florida,9133000,5552663,60.8,5227208,57.2,325455,5.9,1986,florida
6334,May-86,Georgia,4437000,2971919,67,2791498,62.9,180421,6.1,1986,georgia
6335,May-86,Hawaii,743000,490212,66,465458,62.6,24754,5,1986,hawaii
6336,May-86,Idaho,707000,472109,66.8,432274,61.1,39835,8.4,1986,idaho
6337,May-86,Illinois,8674000,5697582,65.7,5213107,60.1,484475,8.5,1986,illinois
6338,May-86,Indiana,4115000,2748303,66.8,2554060,62.1,194243,7.1,1986,indiana
6339,May-86,Iowa,2140000,1430478,66.8,1330511,62.2,99967,7,1986,iowa
6340,May-86,Kansas,1813000,1238575,68.3,1170836,64.6,67739,5.5,1986,kansas
6341,May-86,Kentucky,2759000,1690864,61.3,1533703,55.6,157161,9.3,1986,kentucky
6342,May-86,Louisiana,3222000,1980197,61.5,1729887,53.7,250310,12.6,1986,louisiana
6343,May-86,Maine,882000,560781,63.6,530923,60.2,29858,5.3,1986,maine
6344,May-86,Maryland,3385000,2337458,69.1,2232232,65.9,105226,4.5,1986,maryland
6345,May-86,Massachusetts,4560000,3060840,67.1,2939658,64.5,121182,4,1986,massachusetts
6346,May-86,Michigan,6848000,4382522,64,3984511,58.2,398011,9.1,1986,michigan
6347,May-86,Minnesota,3158000,2239294,70.9,2112158,66.9,127136,5.7,1986,minnesota
6348,May-86,Mississippi,1867000,1151577,61.7,1017818,54.5,133759,11.6,1986,mississippi
6349,May-86,Missouri,3816000,2530161,66.3,2370549,62.1,159612,6.3,1986,missouri
6350,May-86,Montana,601000,402226,66.9,370203,61.6,32023,8,1986,montana
6351,May-86,Nebraska,1178000,808155,68.6,767507,65.2,40648,5,1986,nebraska
6352,May-86,Nevada,733000,527355,71.9,494554,67.5,32801,6.2,1986,nevada
6353,May-86,New Hampshire,776000,559566,72.1,543287,70,16279,2.9,1986,new hampshire
6354,May-86,New Jersey,5941000,3895193,65.6,3691502,62.1,203691,5.2,1986,new jersey
6355,May-86,New Mexico,1054000,670447,63.6,607233,57.6,63214,9.4,1986,new mexico
6356,May-86,New York,13711000,8444060,61.6,7887486,57.5,556574,6.6,1986,new york
6357,May-86,North Carolina,4721000,3174187,67.2,3001746,63.6,172441,5.4,1986,north carolina
6358,May-86,North Dakota,487000,333322,68.4,313055,64.3,20267,6.1,1986,north dakota
6359,May-86,Ohio,8095000,5218611,64.5,4781117,59.1,437494,8.4,1986,ohio
6360,May-86,Oklahoma,2422000,1596114,65.9,1461233,60.3,134881,8.5,1986,oklahoma
6361,May-86,Oregon,2052000,1353211,65.9,1236609,60.3,116602,8.6,1986,oregon
6362,May-86,Pennsylvania,9237000,5611341,60.7,5207664,56.4,403677,7.2,1986,pennsylvania
6363,May-86,Rhode Island,753000,508198,67.5,487564,64.7,20634,4.1,1986,rhode island
6364,May-86,South Carolina,2450000,1583273,64.6,1479377,60.4,103896,6.6,1986,south carolina
6365,May-86,South Dakota,511000,348103,68.1,332034,65,16069,4.6,1986,south dakota
6366,May-86,Tennessee,3622000,2294387,63.3,2110478,58.3,183909,8,1986,tennessee
6367,May-86,Texas,11929000,8167653,68.5,7449293,62.4,718360,8.8,1986,texas
6368,May-86,Utah,1076000,748297,69.5,704412,65.5,43885,5.9,1986,utah
6369,May-86,Vermont,406000,287741,70.9,275346,67.8,12395,4.3,1986,vermont
6370,May-86,Virginia,4287000,2898522,67.6,2751591,64.2,146931,5.1,1986,virginia
6371,May-86,Washington,3320000,2185655,65.8,2006008,60.4,179647,8.2,1986,washington
6372,May-86,West Virginia,1456000,748151,51.4,657735,45.2,90416,12.1,1986,west virginia
6373,May-86,Wisconsin,3588000,2407960,67.1,2235920,62.3,172040,7.1,1986,wisconsin
6374,May-86,Wyoming,360000,252949,70.3,230483,64,22466,8.9,1986,wyoming
6375,Jun-86,Alabama,2999000,1865072,62.2,1679604,56,185468,9.9,1986,alabama
6376,Jun-86,Alaska,351000,256173,73,227464,64.8,28709,11.2,1986,alaska
6377,Jun-86,Arizona,2422000,1565280,64.6,1455778,60.1,109502,7,1986,arizona
6378,Jun-86,Arkansas,1761000,1066875,60.6,975864,55.4,91011,8.5,1986,arkansas
6379,Jun-86,California,20041000,13323161,66.5,12413356,61.9,909805,6.8,1986,california
6380,Jun-86,Colorado,2415000,1704135,70.6,1578275,65.4,125860,7.4,1986,colorado
6381,Jun-86,Connecticut,2487000,1737807,69.9,1670037,67.2,67770,3.9,1986,connecticut
6382,Jun-86,Delaware,479000,325165,67.9,309896,64.7,15269,4.7,1986,delaware
6383,Jun-86,District of Columbia,479000,322052,67.2,297291,62.1,24761,7.7,1986,district of columbia
6384,Jun-86,Florida,9154000,5582265,61,5255586,57.4,326679,5.9,1986,florida
6385,Jun-86,Georgia,4443000,2984353,67.2,2802716,63.1,181637,6.1,1986,georgia
6386,Jun-86,Hawaii,744000,490708,66,466585,62.7,24123,4.9,1986,hawaii
6387,Jun-86,Idaho,707000,472785,66.9,432479,61.2,40306,8.5,1986,idaho
6388,Jun-86,Illinois,8678000,5705168,65.7,5225438,60.2,479730,8.4,1986,illinois
6389,Jun-86,Indiana,4118000,2751063,66.8,2559147,62.1,191916,7,1986,indiana
6390,Jun-86,Iowa,2139000,1432778,67,1334330,62.4,98448,6.9,1986,iowa
6391,Jun-86,Kansas,1816000,1240832,68.3,1172973,64.6,67859,5.5,1986,kansas
6392,Jun-86,Kentucky,2760000,1691417,61.3,1535581,55.6,155836,9.2,1986,kentucky
6393,Jun-86,Louisiana,3225000,1976666,61.3,1724854,53.5,251812,12.7,1986,louisiana
6394,Jun-86,Maine,882000,562111,63.7,532210,60.3,29901,5.3,1986,maine
6395,Jun-86,Maryland,3389000,2344812,69.2,2238570,66.1,106242,4.5,1986,maryland
6396,Jun-86,Massachusetts,4562000,3063832,67.2,2941973,64.5,121859,4,1986,massachusetts
6397,Jun-86,Michigan,6853000,4390064,64.1,3993605,58.3,396459,9,1986,michigan
6398,Jun-86,Minnesota,3162000,2239974,70.8,2115745,66.9,124229,5.5,1986,minnesota
6399,Jun-86,Mississippi,1867000,1153622,61.8,1018766,54.6,134856,11.7,1986,mississippi
6400,Jun-86,Missouri,3820000,2538899,66.5,2377254,62.2,161645,6.4,1986,missouri
6401,Jun-86,Montana,600000,401498,66.9,369607,61.6,31891,7.9,1986,montana
6402,Jun-86,Nebraska,1179000,807406,68.5,767473,65.1,39933,4.9,1986,nebraska
6403,Jun-86,Nevada,734000,529545,72.1,497187,67.7,32358,6.1,1986,nevada
6404,Jun-86,New Hampshire,778000,561011,72.1,545301,70.1,15710,2.8,1986,new hampshire
6405,Jun-86,New Jersey,5948000,3902319,65.6,3701090,62.2,201229,5.2,1986,new jersey
6406,Jun-86,New Mexico,1056000,672088,63.6,607924,57.6,64164,9.5,1986,new mexico
6407,Jun-86,New York,13714000,8446309,61.6,7899992,57.6,546317,6.5,1986,new york
6408,Jun-86,North Carolina,4726000,3179631,67.3,3007319,63.6,172312,5.4,1986,north carolina
6409,Jun-86,North Dakota,487000,332781,68.3,312768,64.2,20013,6,1986,north dakota
6410,Jun-86,Ohio,8096000,5225407,64.5,4787755,59.1,437652,8.4,1986,ohio
6411,Jun-86,Oklahoma,2424000,1597734,65.9,1460482,60.3,137252,8.6,1986,oklahoma
6412,Jun-86,Oregon,2055000,1357931,66.1,1243343,60.5,114588,8.4,1986,oregon
6413,Jun-86,Pennsylvania,9240000,5611807,60.7,5216660,56.5,395147,7,1986,pennsylvania
6414,Jun-86,Rhode Island,754000,508984,67.5,488253,64.8,20731,4.1,1986,rhode island
6415,Jun-86,South Carolina,2452000,1585147,64.6,1483256,60.5,101891,6.4,1986,south carolina
6416,Jun-86,South Dakota,511000,348557,68.2,332567,65.1,15990,4.6,1986,south dakota
6417,Jun-86,Tennessee,3624000,2298881,63.4,2116923,58.4,181958,7.9,1986,tennessee
6418,Jun-86,Texas,11946000,8190515,68.6,7458133,62.4,732382,8.9,1986,texas
6419,Jun-86,Utah,1077000,749990,69.6,705076,65.5,44914,6,1986,utah
6420,Jun-86,Vermont,407000,288515,70.9,276165,67.9,12350,4.3,1986,vermont
6421,Jun-86,Virginia,4295000,2909636,67.7,2762560,64.3,147076,5.1,1986,virginia
6422,Jun-86,Washington,3326000,2193991,66,2013106,60.5,180885,8.2,1986,washington
6423,Jun-86,West Virginia,1456000,749108,51.4,658653,45.2,90455,12.1,1986,west virginia
6424,Jun-86,Wisconsin,3590000,2413963,67.2,2242536,62.5,171427,7.1,1986,wisconsin
6425,Jun-86,Wyoming,360000,252277,70.1,229511,63.8,22766,9,1986,wyoming
6426,Jul-86,Alabama,3002000,1865890,62.2,1682106,56,183784,9.8,1986,alabama
6427,Jul-86,Alaska,352000,255539,72.6,226857,64.4,28682,11.2,1986,alaska
6428,Jul-86,Arizona,2428000,1571912,64.7,1460653,60.2,111259,7.1,1986,arizona
6429,Jul-86,Arkansas,1762000,1069837,60.7,978900,55.6,90937,8.5,1986,arkansas
6430,Jul-86,California,20074000,13362255,66.6,12457662,62.1,904593,6.8,1986,california
6431,Jul-86,Colorado,2418000,1704815,70.5,1576033,65.2,128782,7.6,1986,colorado
6432,Jul-86,Connecticut,2488000,1740598,70,1673664,67.3,66934,3.8,1986,connecticut
6433,Jul-86,Delaware,480000,325419,67.8,310902,64.8,14517,4.5,1986,delaware
6434,Jul-86,District of Columbia,479000,322548,67.3,297656,62.1,24892,7.7,1986,district of columbia
6435,Jul-86,Florida,9175000,5611622,61.2,5284285,57.6,327337,5.8,1986,florida
6436,Jul-86,Georgia,4450000,2995503,67.3,2813645,63.2,181858,6.1,1986,georgia
6437,Jul-86,Hawaii,745000,491234,65.9,467834,62.8,23400,4.8,1986,hawaii
6438,Jul-86,Idaho,708000,473288,66.8,432581,61.1,40707,8.6,1986,idaho
6439,Jul-86,Illinois,8682000,5709817,65.8,5236739,60.3,473078,8.3,1986,illinois
6440,Jul-86,Indiana,4120000,2753281,66.8,2564731,62.3,188550,6.8,1986,indiana
6441,Jul-86,Iowa,2138000,1434996,67.1,1338385,62.6,96611,6.7,1986,iowa
6442,Jul-86,Kansas,1818000,1243055,68.4,1175539,64.7,67516,5.4,1986,kansas
6443,Jul-86,Kentucky,2761000,1692518,61.3,1536947,55.7,155571,9.2,1986,kentucky
6444,Jul-86,Louisiana,3227000,1974549,61.2,1720897,53.3,253652,12.8,1986,louisiana
6445,Jul-86,Maine,883000,563434,63.8,533480,60.4,29954,5.3,1986,maine
6446,Jul-86,Maryland,3393000,2352063,69.3,2244501,66.2,107562,4.6,1986,maryland
6447,Jul-86,Massachusetts,4565000,3067367,67.2,2945347,64.5,122020,4,1986,massachusetts
6448,Jul-86,Michigan,6858000,4398077,64.1,4005267,58.4,392810,8.9,1986,michigan
6449,Jul-86,Minnesota,3166000,2240640,70.8,2119226,66.9,121414,5.4,1986,minnesota
6450,Jul-86,Mississippi,1867000,1155549,61.9,1020472,54.7,135077,11.7,1986,mississippi
6451,Jul-86,Missouri,3824000,2546201,66.6,2383756,62.3,162445,6.4,1986,missouri
6452,Jul-86,Montana,600000,400922,66.8,369129,61.5,31793,7.9,1986,montana
6453,Jul-86,Nebraska,1180000,806992,68.4,767519,65,39473,4.9,1986,nebraska
6454,Jul-86,Nevada,735000,531760,72.3,499747,68,32013,6,1986,nevada
6455,Jul-86,New Hampshire,780000,562321,72.1,547190,70.2,15131,2.7,1986,new hampshire
6456,Jul-86,New Jersey,5956000,3909517,65.6,3711542,62.3,197975,5.1,1986,new jersey
6457,Jul-86,New Mexico,1059000,673452,63.6,608798,57.5,64654,9.6,1986,new mexico
6458,Jul-86,New York,13716000,8446807,61.6,7914993,57.7,531814,6.3,1986,new york
6459,Jul-86,North Carolina,4730000,3186050,67.4,3014524,63.7,171526,5.4,1986,north carolina
6460,Jul-86,North Dakota,487000,332201,68.2,312566,64.2,19635,5.9,1986,north dakota
6461,Jul-86,Ohio,8098000,5230665,64.6,4794538,59.2,436127,8.3,1986,ohio
6462,Jul-86,Oklahoma,2426000,1597776,65.9,1459705,60.2,138071,8.6,1986,oklahoma
6463,Jul-86,Oregon,2058000,1361896,66.2,1250316,60.8,111580,8.2,1986,oregon
6464,Jul-86,Pennsylvania,9244000,5610545,60.7,5224859,56.5,385686,6.9,1986,pennsylvania
6465,Jul-86,Rhode Island,754000,509756,67.6,488902,64.8,20854,4.1,1986,rhode island
6466,Jul-86,South Carolina,2454000,1587320,64.7,1487267,60.6,100053,6.3,1986,south carolina
6467,Jul-86,South Dakota,512000,349121,68.2,333189,65.1,15932,4.6,1986,south dakota
6468,Jul-86,Tennessee,3626000,2303603,63.5,2122964,58.5,180639,7.8,1986,tennessee
6469,Jul-86,Texas,11962000,8208764,68.6,7467166,62.4,741598,9,1986,texas
6470,Jul-86,Utah,1078000,751605,69.7,705609,65.5,45996,6.1,1986,utah
6471,Jul-86,Vermont,407000,289338,71.1,277020,68.1,12318,4.3,1986,vermont
6472,Jul-86,Virginia,4302000,2920677,67.9,2773420,64.5,147257,5,1986,virginia
6473,Jul-86,Washington,3333000,2200050,66,2018872,60.6,181178,8.2,1986,washington
6474,Jul-86,West Virginia,1455000,749617,51.5,659683,45.3,89934,12,1986,west virginia
6475,Jul-86,Wisconsin,3591000,2419959,67.4,2249901,62.7,170058,7,1986,wisconsin
6476,Jul-86,Wyoming,360000,251286,69.8,228366,63.4,22920,9.1,1986,wyoming
6477,Aug-86,Alabama,3005000,1866749,62.1,1684502,56.1,182247,9.8,1986,alabama
6478,Aug-86,Alaska,351000,254832,72.6,226327,64.5,28505,11.2,1986,alaska
6479,Aug-86,Arizona,2436000,1576976,64.7,1464410,60.1,112566,7.1,1986,arizona
6480,Aug-86,Arkansas,1763000,1072517,60.8,981419,55.7,91098,8.5,1986,arkansas
6481,Aug-86,California,20113000,13399406,66.6,12500320,62.2,899086,6.7,1986,california
6482,Aug-86,Colorado,2420000,1705738,70.5,1573519,65,132219,7.8,1986,colorado
6483,Aug-86,Connecticut,2490000,1742970,70,1676906,67.3,66064,3.8,1986,connecticut
6484,Aug-86,Delaware,481000,325610,67.7,311947,64.9,13663,4.2,1986,delaware
6485,Aug-86,District of Columbia,479000,323311,67.5,298356,62.3,24955,7.7,1986,district of columbia
